component,1,2,3,4,5,6,7,8,9,10,11,Cycle
1,95.77 (C),99.68 (C),97.99 (C),93.69 (C),94.44 (C),94.48 (C),93.88 (C),92.84 (C),98.56 (C),104.15 (C),107.51 (C),1.12 (s)
2,95.98 (C),99.78 (C),97.84 (C),93.65 (C),94.06 (C),94.58 (C),93.54 (C),92.51 (C),98.26 (C),102.94 (C),106.35 (C),53.66 (s)
3,95.61 (C),99.52 (C),97.52 (C),93.61 (C),94.01 (C),94.42 (C),93.47 (C),92.34 (C),98.36 (C),103.19 (C),106.71 (C),53.66 (s)
4,95.62 (C),99.90 (C),98.20 (C),94.04 (C),94.81 (C),94.65 (C),93.69 (C),92.49 (C),98.97 (C),104.28 (C),107.71 (C),53.62 (s)
5,95.27 (C),99.63 (C),97.46 (C),93.24 (C),93.74 (C),94.29 (C),93.18 (C),91.89 (C),97.81 (C),102.88 (C),106.77 (C),53.72 (s)
6,95.45 (C),99.76 (C),97.45 (C),93.60 (C),93.92 (C),94.38 (C),93.61 (C),92.32 (C),97.54 (C),102.85 (C),106.69 (C),53.69 (s)
7,95.64 (C),100.08 (C),98.30 (C),93.57 (C),94.52 (C),94.60 (C),93.90 (C),92.96 (C),98.30 (C),104.39 (C),107.80 (C),53.66 (s)
8,93.60 (C),97.74 (C),96.22 (C),92.46 (C),92.57 (C),93.39 (C),93.54 (C),92.05 (C),97.45 (C),103.78 (C),107.60 (C),48.72 (s)
9,94.03 (C),97.98 (C),96.24 (C),92.48 (C),92.50 (C),93.72 (C),93.33 (C),91.92 (C),97.60 (C),103.53 (C),107.51 (C),48.69 (s)
10,94.21 (C),98.21 (C),96.58 (C),92.64 (C),93.12 (C),93.73 (C),93.38 (C),92.20 (C),97.95 (C),104.38 (C),107.85 (C),48.69 (s)
11,93.67 (C),98.04 (C),96.45 (C),92.68 (C),92.79 (C),93.82 (C),93.20 (C),91.79 (C),97.50 (C),103.47 (C),107.42 (C),48.72 (s)
12,94.32 (C),98.51 (C),96.57 (C),92.72 (C),93.39 (C),93.83 (C),93.03 (C),91.81 (C),97.89 (C),103.85 (C),107.79 (C),48.66 (s)
13,92.75 (C),96.91 (C),95.38 (C),92.04 (C),92.16 (C),93.24 (C),92.85 (C),91.90 (C),96.57 (C),104.65 (C),107.90 (C),43.69 (s)
14,93.08 (C),97.68 (C),95.52 (C),92.50 (C),92.46 (C),94.14 (C),93.17 (C),92.04 (C),97.53 (C),104.85 (C),108.63 (C),43.69 (s)
15,93.08 (C),97.58 (C),95.76 (C),92.45 (C),92.38 (C),94.48 (C),92.93 (C),91.99 (C),95.84 (C),105.67 (C),107.40 (C),43.69 (s)
16,93.40 (C),97.81 (C),95.97 (C),92.47 (C),92.58 (C),94.31 (C),93.08 (C),92.22 (C),95.53 (C),105.82 (C),107.68 (C),43.66 (s)
17,94.03 (C),98.65 (C),96.06 (C),92.79 (C),92.47 (C),93.96 (C),93.39 (C),92.41 (C),98.24 (C),104.70 (C),108.48 (C),43.69 (s)
18,96.38 (C),100.95 (C),98.61 (C),94.44 (C),94.70 (C),94.74 (C),94.61 (C),93.35 (C),98.44 (C),104.63 (C),107.26 (C),53.72 (s)
19,96.33 (C),101.06 (C),99.02 (C),94.46 (C),94.86 (C),94.82 (C),94.57 (C),93.58 (C),98.36 (C),104.84 (C),107.51 (C),53.69 (s)
20,96.50 (C),100.71 (C),98.98 (C),94.49 (C),94.78 (C),94.86 (C),94.03 (C),93.26 (C),98.84 (C),104.43 (C),107.83 (C),53.69 (s)
21,95.89 (C),99.83 (C),98.16 (C),93.76 (C),94.77 (C),94.42 (C),93.92 (C),92.68 (C),96.88 (C),104.42 (C),106.32 (C),53.72 (s)
22,95.97 (C),100.27 (C),98.29 (C),94.07 (C),94.50 (C),94.69 (C),93.95 (C),92.86 (C),97.91 (C),104.44 (C),107.45 (C),53.66 (s)
23,95.71 (C),100.19 (C),98.27 (C),93.65 (C),94.27 (C),94.47 (C),94.15 (C),92.87 (C),98.10 (C),104.11 (C),107.34 (C),53.69 (s)
24,96.11 (C),100.08 (C),98.45 (C),94.08 (C),94.51 (C),94.66 (C),93.93 (C),92.81 (C),97.80 (C),104.19 (C),107.50 (C),53.69 (s)
25,95.87 (C),100.09 (C),98.46 (C),94.02 (C),94.52 (C),94.48 (C),93.97 (C),93.10 (C),97.84 (C),104.70 (C),107.76 (C),53.69 (s)
